id,box_completed,dsteps,duplicates,first_move_time,first_push_time,guan_time,num,num_higher_than_sd,optstep,p_optimal,rest_mean,rest_sd,result_flag,same_with_optimal,steps
190103,2,11,2,28.46046,33.94059,53.40103,7,6,29,0.034482758620689655,0.500011442424,0.380479328651,2,1,40
190103,0,43,7,34.84061,36.14064,120.0119,8,5,33,0.5757575757575758,0.638224622857,2.34635162739,4,19,76
190103,0,-20,2,14.90015,17.90022,75.97926,9,1,44,0.2727272727272727,1.13910034545,6.64653993611,3,12,24
190103,2,-22,3,26.68042,28.94047,53.34103,10,2,46,0.17391304347826086,0.610490166667,1.55379018343,3,8,24
190103,2,34,4,19.58026,28.40046,74.73947,11,7,41,0.43902439024390244,0.50744378806,0.914849061933,2,18,75
190103,1,-11,1,9.080018,23.12034,39.50071,12,1,34,0.4117647058823529,0.658110309524,2.08427405326,3,14,23
190103,0,-22,0,57.34112,60.26119,66.98077,13,3,36,0.2222222222222222,0.35800819,0.107606807956,3,8,14
190103,0,4,0,30.0005,40.58074,61.20121,14,4,24,0.2916666666666667,0.674798073913,1.03581287262,3,7,28
190103,2,8,1,23.68035,25.40039,55.82109,15,2,20,0.05,0.62321426,1.23683864257,3,1,28
190103,0,0,1,43.78081,45.08084,89.81694,16,3,23,0.13043478260869565,1.01361903684,2.57709238733,3,3,23
190103,2,2,0,20.50028,21.22029,51.44099,17,5,29,1.0,0.587213472,1.07063472289,2,29,31
190103,1,-25,0,27.60044,30.94052,43.1608,18,1,34,0.08823529411764706,1.25431425714,1.33400025344,3,3,9
190103,1,-18,1,14.72015,16.78019,50.70097,19,3,43,0.2558139534883721,0.693349161905,1.79069264099,3,11,25
190103,1,19,7,15.52017,15.52017,73.65965,20,4,40,0.275,0.578516362963,1.68728864689,3,11,59
190104,0,-42,0,3.659997,3.659997,41.06075,1,NA,45,0.022222222222222223,NA,NA,3,1,3
190104,0,11,0,18.08022,19.02024,52.70102,2,3,17,0.17647058823529413,0.3833421125,0.993533075952,3,3,28
190104,3,0,0,3.639997,5.619996,10.56005,3,2,20,1.05,0.337650317647,0.0859019366295,1,21,20
190104,3,6,2,1.04,6.639995,17.84022,4,1,27,1.037037037037037,0.382587812903,0.796031339118,2,28,33
190104,2,0,0,72.49985,92.69646,101.9349,5,2,42,0.9761904761904762,0.373270646154,1.81494842122,1,41,42
190104,2,10,2,51.80099,59.54117,68.18057,6,1,23,0.6521739130434783,0.418693674194,0.534454035555,2,15,33
190104,2,7,0,1.359999,14.56014,27.34044,7,2,29,0.034482758620689655,0.36606860303,1.67421914646,2,1,36
190104,2,6,0,79.43868,80.69847,96.49582,8,3,33,0.3939393939393939,0.353083565714,0.379621164016,2,13,39
190104,1,1,0,38.22068,74.63949,120.0119,9,3,44,0.5227272727272727,0.565270946341,5.12573059969,4,23,45
190104,2,-34,0,0.0,10.62005,25.8404,10,2,46,0.17391304347826086,0.5844578,3.55162694166,3,8,12
190104,1,-13,1,35.36062,39.30071,83.01808,11,1,41,0.3170731707317073,0.622280246154,5.42460875408,3,13,28
190104,1,-11,1,99.71528,106.2542,120.0119,12,2,34,0.4411764705882353,0.395933515,0.659335659705,4,15,23
190104,2,13,0,52.141,58.36115,80.5385,13,3,36,0.3055555555555556,0.423503784444,0.778254667818,2,11,49
190104,2,0,0,1.499999,15.26016,23.88036,14,2,24,1.0,0.558105233333,1.55281666645,1,24,24
